original_stem,tidied,top_score,suggested_display,suggested_artist,suggested_title,year,genre
John Denver - Thank God I'm A Country Boy,John Denver - Thank God I'm A Country Boy,130,John Denver - Thank God I'm a Country Boy,John Denver,Thank God I'm a Country Boy,1974,Pop
John Fogety - Rockin All Over The World,John Fogety - Rockin All Over The World,40,Rockin' All Over The World - John Fogerty,John Fogerty,Rockin' All Over The World,1975,Rock
John Legend - All Of Me,John Legend - All Of Me,125,John Legend - All of Me,John Legend,All of Me,2013,R&B/Soul
John Lennon - Imagine,John Lennon - Imagine,130,John Lennon - Imagine,John Lennon,Imagine,1971,Rock
John Lennon - Jealous Guy,John Lennon - Jealous Guy,130,John Lennon - Jealous Guy,John Lennon,Jealous Guy,1971,Rock
John Paul Young - Love Is In The Air,John Paul Young - Love Is In The Air,130,John Paul Young - Love Is in the Air,John Paul Young,Love Is in the Air,1978,Rock
Johnny Cash - A Boy Named Sue,Johnny Cash - A Boy Named Sue,130,Johnny Cash - A Boy Named Sue,Johnny Cash,A Boy Named Sue,1954,Country
Jonas Blue - Fast Car,Jonas Blue - Fast Car,120,Jonas Blue - Fast Car (feat. Dakota),Jonas Blue,Fast Car (feat. Dakota),2015,Dance
Journey - Don't Stop Believin,Journey - Don't Stop Believin,120,Journey - Don't Stop Believin',Journey,Don't Stop Believin',1981,Pop
Juice Newton - Queen of Hearts,Juice Newton - Queen of Hearts,130,Juice Newton - Queen of Hearts,Juice Newton,Queen of Hearts,1981,Pop
Justin Bieber - Boyfriend,Justin Bieber - Boyfriend,130,Justin Bieber - Boyfriend,Justin Bieber,Boyfriend,2012,Pop
KC & The Sunshine Band - Give It Up,KC & The Sunshine Band - Give It Up,130,KC and the Sunshine Band - Give It Up,KC and the Sunshine Band,Give It Up,1982,Pop
Kaiser Chiefs - Everyday I Love You Less And Less,Kaiser Chiefs - Everyday I Love You Less And Less,130,Kaiser Chiefs - Everyday I Love You Less And Less,Kaiser Chiefs,Everyday I Love You Less And Less,2005,Rock
Kate Bush - Wuthering Heights,Kate Bush - Wuthering Heights,130,Kate Bush - Wuthering Heights,Kate Bush,Wuthering Heights,2022,Pop
Katrina & The Waves - Walking On Sunshine,Katrina & The Waves - Walking On Sunshine,130,Katrina and the Waves - Walking On Sunshine,Katrina and the Waves,Walking On Sunshine,1985,Pop
Katy Perry - Firework,Katy Perry - Firework,130,Katy Perry - Firework,Katy Perry,Firework,2010,Pop
Katy Perry - Roar,Katy Perry - Roar,130,Katy Perry - Roar,Katy Perry,Roar,2013,Pop
Kelly Clarkson - Because Of You,Kelly Clarkson - Because Of You,130,Kelly Clarkson - Because of You,Kelly Clarkson,Because of You,2004,Pop
Kelly Marie - Feels Like I'm In Love,Kelly Marie - Feels Like I'm In Love,130,Kelly Marie - Feels Like I'm in Love,Kelly Marie,Feels Like I'm in Love,1981,Disco
Kenny Loggins - Footloose,Kenny Loggins - Footloose,130,Kenny Loggins - Footloose,Kenny Loggins,Footloose,1984,Rock
Kenny Logins - Footloose,Kenny Logins - Footloose,50,Footloose - Kenny Loggins,Kenny Loggins,Footloose,1984,Rock
Kenny Rogers & Dolly Parton - Islands In The Stream,Kenny Rogers & Dolly Parton - Islands In The Stream,120,Dolly Parton & Kenny Rogers - Islands In the Stream,Dolly Parton & Kenny Rogers,Islands In the Stream,1983,Country
Kim Carnes - Bette Davies Eyes,Kim Carnes - Bette Davies Eyes,120,Kim Carnes - Bette Davis Eyes,Kim Carnes,Bette Davis Eyes,1981,Country
Kim Wilde - Kids In America,Kim Wilde - Kids In America,130,Kim Wilde - Kids In America,Kim Wilde,Kids In America,1981,Pop
Kings Of Leon - Sex On Fire,Kings Of Leon - Sex On Fire,130,Kings of Leon - Sex On Fire,Kings of Leon,Sex On Fire,2008,Alternative
Kingsmen - Louie Louie,Kingsmen - Louie Louie,120,The Kingsmen - Louie Louie,The Kingsmen,Louie Louie,1963,Rock
Kool & The Gang - Celebration,Kool & The Gang - Celebration,125,Kool & The Gang - Celebration,Kool & The Gang,Celebration,1988,R&B/Soul
Kylie Minogue & Jason Donovan - Especially For You,Kylie Minogue & Jason Donovan - Especially For You,130,Kylie Minogue & Jason Donovan - Especially for You,Kylie Minogue & Jason Donovan,Especially for You,1988,Pop
Kylie Minogue - All The Lovers,Kylie Minogue - All The Lovers,130,Kylie Minogue - All the Lovers,Kylie Minogue,All the Lovers,2010,Pop
Kylie Minogue - Get Outta My Way,Kylie Minogue - Get Outta My Way,130,Kylie Minogue - Get Outta My Way,Kylie Minogue,Get Outta My Way,2010,Pop
Kylie Minogue - I Should Be So Lucky,Kylie Minogue - I Should Be So Lucky,130,Kylie Minogue - I Should Be so Lucky,Kylie Minogue,I Should Be so Lucky,1987,Pop
Labi Siffre - (Something Inside) So Strong,Labi Siffre - (Something Inside) So Strong,120,Labi Siffre - (Something Inside) So Strong,Labi Siffre,(Something Inside) So Strong,1988,Pop
Lady Gaga - Marry The Night,Lady Gaga - Marry The Night,130,Lady Gaga - Marry The Night,Lady Gaga,Marry The Night,2011,Pop
Lady Gaga - Paparazzi,Lady Gaga - Paparazzi,130,Lady Gaga - Paparazzi,Lady Gaga,Paparazzi,2008,Pop
Lady Gaga - Perfect Illusion,Lady Gaga - Perfect Illusion,130,Lady Gaga - Perfect Illusion,Lady Gaga,Perfect Illusion,2016,Pop
Lady Gaga - Telephone (feat. Beyoncé),Lady Gaga - Telephone (feat. Beyoncé),120,Lady Gaga - Telephone (feat. Beyoncé),Lady Gaga,Telephone (feat. Beyoncé),2009,Pop
Lana Del Rey - High By The Beach,Lana Del Rey - High By The Beach,50,High By the Beach - Sepia Tone,Sepia Tone,High By the Beach,2024,Classical Crossover
Lana Del Rey - White Mustang,Lana Del Rey - White Mustang,130,Lana Del Rey - White Mustang,Lana Del Rey,White Mustang,2017,Alternative
Lawson - Roads,Lawson - Roads,130,Lawson - Roads,Lawson,Roads,2015,Pop
Lenny Kravitz - American Woman,Lenny Kravitz - American Woman,130,Lenny Kravitz - American Woman,Lenny Kravitz,American Woman,1999,Rock
Leo Sayer - When I Need You,Leo Sayer - When I Need You,130,Leo Sayer - When I Need You,Leo Sayer,When I Need You,1976,Rock
Leona Lewis -  Run,Leona Lewis - Run,130,Leona Lewis - Run,Leona Lewis,Run,2007,Pop
Leona Lewis - Bleeding Love,Leona Lewis - Bleeding Love,130,Leona Lewis - Bleeding Love,Leona Lewis,Bleeding Love,2007,Pop
Leona Lewis - Thunder,Leona Lewis - Thunder,130,Leona Lewis - Thunder,Leona Lewis,Thunder,2015,Pop
Les Miserables - I Dreamed A Dream,Les Miserables - I Dreamed A Dream,80,Les Miserables: I Dreamed a Dream - George Davidson,George Davidson,Les Miserables: I Dreamed a Dream,1996,New Age
Lionel Richie - All Night Long,Lionel Richie - All Night Long,120,Lionel Richie - All Night Long (All Night),Lionel Richie,All Night Long (All Night),1983,Pop
Lionel Richie - Hello,Lionel Richie - Hello,130,Lionel Richie - Hello,Lionel Richie,Hello,2002,Pop
Little Eva - Locomotion,Little Eva - Locomotion,120,Little Eva - The Locomotion,Little Eva,The Locomotion,1962,Pop
Little Mix - Black Magic,Little Mix - Black Magic,130,Little Mix - Black Magic,Little Mix,Black Magic,2015,Pop
Little Mix - Little Me,Little Mix - Little Me,130,Little Mix - Little Me,Little Mix,Little Me,2013,Pop
Little Mix feat. Charlie Puth - Oops!,Little Mix feat. Charlie Puth - Oops!,125,Little Mix - Oops (feat. Charlie Puth),Little Mix,Oops (feat. Charlie Puth),2016,Pop
Little Richard - Good Golly Miss Molly,Little Richard - Good Golly Miss Molly,125,Little Richard - Good Golly Miss Molly,Little Richard,Good Golly Miss Molly,1958,Rock & Roll
Lmfao - Sexy And I Know It,Lmfao - Sexy And I Know It,130,LMFAO - Sexy and I Know It,LMFAO,Sexy and I Know It,2011,Pop
Lolly - Viva La Radio,Lolly - Viva La Radio,130,Lolly - Viva LA Radio,Lolly,Viva LA Radio,1999,Pop
Lorde - Green Light,Lorde - Green Light,130,Lorde - Green Light,Lorde,Green Light,2017,Alternative
Los Lobos - La Bamba,Los Lobos - La Bamba,130,Los Lobos - La Bamba,Los Lobos,La Bamba,1987,Pop
Lou Reed - Walk On The Wild Side,Lou Reed - Walk On The Wild Side,130,Lou Reed - Walk on the Wild Side,Lou Reed,Walk on the Wild Side,1972,Rock
Lukas Graham - 7 Years,Lukas Graham - 7 Years,130,Lukas Graham - 7 Years,Lukas Graham,7 Years,2015,Pop
Lulu - Shout,Lulu - Shout,120,Lulu & The Luvvers - Shout,Lulu & The Luvvers,Shout,1964,Pop
Lynn Anderson - Rose Garden,Lynn Anderson - Rose Garden,130,Lynn Anderson - Rose Garden,Lynn Anderson,Rose Garden,1993,Country
Macy Gray - I Try,Macy Gray - I Try,130,Macy Gray - I Try,Macy Gray,I Try,1999,Pop
Madness - Baggy Trousers,Madness - Baggy Trousers,130,Madness - Baggy Trousers,Madness,Baggy Trousers,1980,Rock
Madness - Our House,Madness - Our House,130,Madness - Our House,Madness,Our House,1982,Pop
Madonna - Crazy For You,Madonna - Crazy For You,130,Madonna - Crazy for You,Madonna,Crazy for You,1985,Pop
Madonna - Like A Virgin,Madonna - Like A Virgin,130,Madonna - Like a Virgin,Madonna,Like a Virgin,1984,Pop
Madonna - Like a Prayer,Madonna - Like a Prayer,130,Madonna - Like a Prayer,Madonna,Like a Prayer,1989,Pop
Major Lazer - Cold Water (feat. Justin Bieber & MØ),Major Lazer - Cold Water (feat. Justin Bieber & MØ),120,Major Lazer - Cold Water (feat. Justin Bieber & MØ),Major Lazer,Cold Water (feat. Justin Bieber & MØ),2016,Electronic
Manfred Mann - Do Wa Diddy Diddy,Manfred Mann - Do Wa Diddy Diddy,50,Manfred Mann - Do Wah Diddy Diddy,Manfred Mann,Do Wah Diddy Diddy,1964,Pop
Mark Ronson Ft Lilly Allen - Oh My God,Mark Ronson Ft Lilly Allen - Oh My God,120,Mark Ronson - Oh My God (feat. Lily Allen),Mark Ronson,Oh My God (feat. Lily Allen),2007,Dance
Mark Ronson feat. Bruno Mars - Uptown Funk,Mark Ronson feat. Bruno Mars - Uptown Funk,135,Mark Ronson - Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Funk (feat. Bruno Mars),2014,Pop
Maroon 5 feat. Christina Aguilera - Moves Like Jagger,Maroon 5 feat. Christina Aguilera - Moves Like Jagger,135,Maroon 5 - Moves Like Jagger (feat. Christina Aguilera),Maroon 5,Moves Like Jagger (feat. Christina Aguilera),2010,Pop
Martha & The Vandellas - Dancing In The Street,Martha & The Vandellas - Dancing In The Street,120,Martha Reeves & The Vandellas - Dancing In the Street,Martha Reeves & The Vandellas,Dancing In the Street,1964,Pop
Martha & The Vandellas - Heat Wave,Martha & The Vandellas - Heat Wave,120,Martha Reeves & The Vandellas - Heat Wave,Martha Reeves & The Vandellas,Heat Wave,1964,Pop
Marty Robins - Devil Woman,Marty Robins - Devil Woman,50,Devil Woman - Marty Robbins,Marty Robbins,Devil Woman,1962,Country
Marvin Gaye - I Heard It Through The Grapevine,Marvin Gaye - I Heard It Through The Grapevine,130,Marvin Gaye - I Heard It Through the Grapevine,Marvin Gaye,I Heard It Through the Grapevine,1968,Soundtrack
Marvin Gaye - What's Going On,Marvin Gaye - What's Going On,125,Marvin Gaye - What's Going On,Marvin Gaye,What's Going On,1971,R&B/Soul
Mary Wells - My Guy,Mary Wells - My Guy,130,Mary Wells - My Guy,Mary Wells,My Guy,1964,Soundtrack
McCoys - Hang On Sloopy,McCoys - Hang On Sloopy,120,The McCoys - Hang On Sloopy,The McCoys,Hang On Sloopy,1965,Pop
Mcfly - Obviously,Mcfly - Obviously,130,McFly - Obviously,McFly,Obviously,2004,Alternative
Meatloaf & Cher - Dead Ringer For Love,Meatloaf & Cher - Dead Ringer For Love,120,Meat Loaf - Dead Ringer for Love,Meat Loaf,Dead Ringer for Love,1981,Pop
Meatloaf - Bat Out Of Hell,Meatloaf - Bat Out Of Hell,120,Meat Loaf - Bat Out of Hell,Meat Loaf,Bat Out of Hell,1977,Rock
Meatloaf - Dead Ringer for Love,Meatloaf - Dead Ringer for Love,120,Meat Loaf - Dead Ringer for Love,Meat Loaf,Dead Ringer for Love,1981,Pop
Meatloaf - Paradise By The Dashboard Light,Meatloaf - Paradise By The Dashboard Light,120,Meat Loaf & Ellen Foley - Paradise By the Dashboard Light,Meat Loaf & Ellen Foley,Paradise By the Dashboard Light,1977,Rock
Meghan Trainor & John Legend - Like I'm Gonna Lose You,Meghan Trainor & John Legend - Like I'm Gonna Lose You,125,Meghan Trainor - Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),2015,Pop
Meghan Trainor - All About That Bass,Meghan Trainor - All About That Bass,130,Meghan Trainor - All About That Bass,Meghan Trainor,All About That Bass,2014,Pop
Melanie G - Word Up,Melanie G - Word Up,130,Melanie G - Word Up,Melanie G,Word Up,1999,Soundtrack
Melle Mel & Grandmaster Flash - White Lines,Melle Mel & Grandmaster Flash - White Lines,115,Melle Mel & Grandmaster Flash - White Lines (Don't Do It),Melle Mel & Grandmaster Flash,White Lines (Don't Do It),1989,Hip-Hop/Rap
Men At Work - Down Under,Men At Work - Down Under,130,Men At Work - Down Under,Men At Work,Down Under,1981,Rock
Michael Buble - Feeling Good,Michael Buble - Feeling Good,130,Michael Bublé - Feeling Good,Michael Bublé,Feeling Good,2005,Pop
Michael Jackson - Beat It,Michael Jackson - Beat It,130,Michael Jackson - Beat It,Michael Jackson,Beat It,1982,Pop
Michael Jackson - Billie Jean,Michael Jackson - Billie Jean,130,Michael Jackson - Billie Jean,Michael Jackson,Billie Jean,1982,Pop
Michael Jackson - Man In The Mirror,Michael Jackson - Man In The Mirror,130,Michael Jackson - Man In the Mirror,Michael Jackson,Man In the Mirror,1987,Pop
Michael Jackson - Rockin Robin,Michael Jackson - Rockin Robin,120,Michael Jackson - Rockin' Robin,Michael Jackson,Rockin' Robin,1972,Motown
Michael Jackson - Smooth Criminal,Michael Jackson - Smooth Criminal,130,Michael Jackson - Smooth Criminal,Michael Jackson,Smooth Criminal,1987,Pop
Michael Jackson - Wanna Be Startin Something,Michael Jackson - Wanna Be Startin Something,120,Michael Jackson - Wanna Be Startin' Somethin',Michael Jackson,Wanna Be Startin' Somethin',1982,Pop
Mike Posner - I Took A Pill In Ibiza,Mike Posner - I Took A Pill In Ibiza,125,Mike Posner - I Took a Pill In Ibiza,Mike Posner,I Took a Pill In Ibiza,2015,Singer/Songwriter
Miley Cyrus - Wrecking Ball,Miley Cyrus - Wrecking Ball,130,Miley Cyrus - Wrecking Ball,Miley Cyrus,Wrecking Ball,2013,Pop
Miley Cyrus - Younger Now,Miley Cyrus - Younger Now,130,Miley Cyrus - Younger Now,Miley Cyrus,Younger Now,2017,Pop
Mitch Ryder - Devil With The Blue Dress On,Mitch Ryder - Devil With The Blue Dress On,120,Mitch Ryder - Devil With a Blue Dress,Mitch Ryder,Devil With a Blue Dress,1966,Rock
Monty Python - Always Look On The Bright Side Of Life,Monty Python - Always Look On The Bright Side Of Life,110,Monty Python - Look On the Bright Side of Life (All Things Dull and Ugly),Monty Python,Look On the Bright Side of Life (All Things Dull and Ugly),1979,Comedy
Mud - Tiger Feed,Mud - Tiger Feed,50,Mud - Tiger Feet,Mud,Tiger Feet,1974,Pop
Mumford & Sons - Believe,Mumford & Sons - Believe,130,Mumford & Sons - Believe,Mumford & Sons,Believe,2015,Alternative
Mungo Jerry - In the Summertime,Mungo Jerry - In the Summertime,130,Mungo Jerry - In the Summertime,Mungo Jerry,In the Summertime,1970,Pop
Natalie Imbruglia - Torn,Natalie Imbruglia - Torn,130,Natalie Imbruglia - Torn,Natalie Imbruglia,Torn,1997,Pop
Natasha Bedingfield - These Words,Natasha Bedingfield - These Words,130,Natasha Bedingfield - These Words,Natasha Bedingfield,These Words,2004,Pop
Neil Diamond - Mr Bojangles,Neil Diamond - Mr Bojangles,120,Neil Diamond - Mr. Bojangles,Neil Diamond,Mr. Bojangles,1969,Pop
Neil Diamond - You Don't Bring Me Flowers,Neil Diamond - You Don't Bring Me Flowers,130,Neil Diamond - You Don't Bring Me Flowers,Neil Diamond,You Don't Bring Me Flowers,1977,Pop
Nena - 99 Red Balloons,Nena - 99 Red Balloons,130,Nena - 99 Red Balloons,Nena,99 Red Balloons,1984,Pop
Niall Horan - Too Much To Ask,Niall Horan - Too Much To Ask,130,Niall Horan - Too Much to Ask,Niall Horan,Too Much to Ask,2017,Pop
Nick Jonas - Remember I Told You,Nick Jonas - Remember I Told You,120,Nick Jonas - Remember I Told You (feat. Anne-Marie & Mike Posner),Nick Jonas,Remember I Told You (feat. Anne-Marie & Mike Posner),2017,Dance
Nicole Scherzinger - On The Rocks,Nicole Scherzinger - On The Rocks,40,"Christopher Jackson, Rachel House, Nicole Scherzinger, Auli'i Cravalho & Louise Bush - Where You Are","Christopher Jackson, Rachel House, Nicole Scherzinger, Auli'i Cravalho & Louise Bush",Where You Are,2016,Soundtrack
No Doubt - Don't Speak,No Doubt - Don't Speak,130,No Doubt - Don't Speak,No Doubt,Don't Speak,1995,Pop
Nolans - I'm In the Mood For Dancing,Nolans - I'm In the Mood For Dancing,120,The Nolans - I'm In the Mood for Dancing,The Nolans,I'm In the Mood for Dancing,1979,Pop
Norman Greenbaum - Spirit In The Sky,Norman Greenbaum - Spirit In The Sky,130,Norman Greenbaum - Spirit In the Sky,Norman Greenbaum,Spirit In the Sky,1969,Rock
Oasis - Don't Look Back in Anger,Oasis - Don't Look Back in Anger,130,Oasis - Don't Look Back in Anger,Oasis,Don't Look Back in Anger,1995,Indie Rock
Oasis - The Importance - Of Being Idle,Oasis - The Importance - Of Being Idle,120,Oasis - The Importance Of Being Idle,Oasis,The Importance Of Being Idle,2005,Indie Rock
Oasis - Wonderwall,Oasis - Wonderwall,130,Oasis - Wonderwall,Oasis,Wonderwall,1995,Indie Rock
Olivia Newton-John & John Travolta - You're The One That I Want,Olivia Newton-John & John Travolta - You're The One That I Want,120,John Travolta & Olivia Newton-John - You're the One That I Want,John Travolta & Olivia Newton-John,You're the One That I Want,1978,Musicals
Olly Murs - Beautiful To Me,Olly Murs - Beautiful To Me,130,Olly Murs - Beautiful to Me,Olly Murs,Beautiful to Me,2014,Pop
Olly Murs - Please Don't Let Me Go,Olly Murs - Please Don't Let Me Go,130,Olly Murs - Please Don't Let Me Go,Olly Murs,Please Don't Let Me Go,2010,Rock
Olly Murs Ft Demi Lovato - Up,Olly Murs Ft Demi Lovato - Up,135,Olly Murs - Up (feat. Demi Lovato),Olly Murs,Up (feat. Demi Lovato),2014,Pop
One Direction - Best Song Ever,One Direction - Best Song Ever,130,One Direction - Best Song Ever,One Direction,Best Song Ever,2013,Pop
One Direction - Gotta Be You,One Direction - Gotta Be You,90,One Direction - Gotta Be You (2012 US Version),One Direction,Gotta Be You (2012 US Version),2012,Pop
One Direction - History,One Direction - History,130,One Direction - History,One Direction,History,2015,Pop
One Direction - Little Things,One Direction - Little Things,130,One Direction - Little Things,One Direction,Little Things,2012,Pop
One Direction - The Story of My Life,One Direction - The Story of My Life,120,One Direction - Story Of My Life,One Direction,Story Of My Life,2013,Pop
One Direction - You And I,One Direction - You And I,120,One Direction - You & I,One Direction,You & I,2013,Pop
One Republic - Counting Stars,One Republic - Counting Stars,120,OneRepublic - Counting Stars,OneRepublic,Counting Stars,2013,Pop
Otis Day & The Knights - Shout,Otis Day & The Knights - Shout,125,Otis Day & The Knights - Shout,Otis Day & The Knights,Shout,1989,R&B/Soul
Otis Reading - Sitting on the Dock of the Bay,Otis Reading - Sitting on the Dock of the Bay,50,Sitting On the Dock of the Bay - The Foundations,The Foundations,Sitting On the Dock of the Bay,1968,Pop
Paloma Faith - New York,Paloma Faith - New York,120,Paloma Faith - New York (feat. Ghostface Killah),Paloma Faith,New York (feat. Ghostface Killah),2010,Pop
Paloma Faith - Only Love Can Hurt Like This,Paloma Faith - Only Love Can Hurt Like This,130,Paloma Faith - Only Love Can Hurt Like This,Paloma Faith,Only Love Can Hurt Like This,2014,Pop
Patrick Swayze - She's Like The Wind,Patrick Swayze - She's Like The Wind,120,Patrick Swayze - She's Like the Wind (feat. Wendy Fraser),Patrick Swayze,She's Like the Wind (feat. Wendy Fraser),1987,Soundtrack
Patsy Cline - Crazy,Patsy Cline - Crazy,130,Patsy Cline - Crazy,Patsy Cline,Crazy,1961,Country
Patsy Cline - I Fall To Pieces,Patsy Cline - I Fall To Pieces,130,Patsy Cline - I Fall To Pieces,Patsy Cline,I Fall To Pieces,1962,Pop
Paul Kelly - Firewood and Candles (Karaoke Version) with Lyrics HD Vocal-Star Karaoke---UDR5t0zd_c0,Paul Kelly - Firewood and Candles,130,Paul Kelly - Firewood and Candles,Paul Kelly,Firewood and Candles,2017,Rock
Paul Kelly - To Her Door,Paul Kelly - To Her Door,125,Paul Kelly - To Her Door,Paul Kelly,To Her Door,1987,Singer/Songwriter
Paul Young - Wherever I Lay My Hat (That's My Home),Paul Young - Wherever I Lay My Hat,120,Paul Young - Wherever I Lay My Hat (That's My Home),Paul Young,Wherever I Lay My Hat (That's My Home),1983,Pop
Penguins - Earth Angel,Penguins - Earth Angel,120,The Penguins - Earth Angel,The Penguins,Earth Angel,1954,Doo Wop
Percy Sledge - When a Man Loves a Woman,Percy Sledge - When a Man Loves a Woman,130,Percy Sledge - When a Man Loves a Woman,Percy Sledge,When a Man Loves a Woman,1966,Rock
Pet Shop Boys - West End Girls,Pet Shop Boys - West End Girls,130,Pet Shop Boys - West End Girls,Pet Shop Boys,West End Girls,1986,Pop
Peter Andre - Mysterious Girl,Peter Andre - Mysterious Girl,130,Peter Andre - Mysterious Girl,Peter Andre,Mysterious Girl,2002,Rock
