original_stem,tidied,top_score,suggested_display,suggested_artist,suggested_title,year,genre
Peter Cetera - Glory Of Love,Peter Cetera - Glory Of Love,130,Peter Cetera - Glory of Love,Peter Cetera,Glory of Love,1986,Pop
Phil Collins - Easy Lover,Phil Collins - Easy Lover,120,Phil Collins & Philip Bailey - Easy Lover,Phil Collins & Philip Bailey,Easy Lover,1984,Rock
Phil Collins - In The Air Tonight,Phil Collins - In The Air Tonight,130,Phil Collins - In the Air Tonight,Phil Collins,In the Air Tonight,1981,Rock
Phil Collins - You Can't Hurry Love,Phil Collins - You Can't Hurry Love,130,Phil Collins - You Can't Hurry Love,Phil Collins,You Can't Hurry Love,1982,Rock
Phyllis Nelson -  Move Closer,Phyllis Nelson - Move Closer,130,Phyllis Nelson - Move Closer,Phyllis Nelson,Move Closer,1984,Pop
Pink - Beautiful Trauma,Pink - Beautiful Trauma,50,Beautiful Trauma - P!nk,P!nk,Beautiful Trauma,2017,Pop
Pink - F--kin' Perfect,Pink - F--kin' Perfect,50,Pink - F**kin' Perfect - Master Q Karaoke,Master Q Karaoke,Pink - F**kin' Perfect,2011,Karaoke
Pink - Funhouse,Pink - Funhouse,50,Funhouse - P!nk,P!nk,Funhouse,2008,Pop
Pink - Try,Pink - Try,80,Pink Try - CRISZEL,CRISZEL,Pink Try,2023,Electronic
Pink Ft Lilly Allen - True Love,Pink Ft Lilly Allen - True Love,50,True Love - Ariana Grande,Ariana Grande,True Love,2015,Holiday
Pixie Lott - Caravan Of Love,Pixie Lott - Caravan Of Love,130,Pixie Lott - Caravan of Love,Pixie Lott,Caravan of Love,2014,Pop
Prince - Purple Rain,Prince - Purple Rain,120,Prince & The Revolution - Purple Rain,Prince & The Revolution,Purple Rain,1984,Pop
Pulp - Disco 2000,Pulp - Disco 2000,130,Pulp - Disco 2000,Pulp,Disco 2000,1995,Rock
Pussycat Dolls - Chon't Cha - Busta Rhymes,Pussycat Dolls - Chon't Cha - Busta Rhymes,0,,,,,
Pussycat Dolls ft busta Rhymes - Don't Cha,Pussycat Dolls ft busta Rhymes - Don't Cha,125,The Pussycat Dolls & Busta Rhymes - Don't Cha (featuring Busta Rhymes),The Pussycat Dolls & Busta Rhymes,Don't Cha (featuring Busta Rhymes),2005,Pop
Queen - Bohemian Rhapsody,Queen - Bohemian Rhapsody,130,Queen - Bohemian Rhapsody,Queen,Bohemian Rhapsody,1975,Rock
Queen - Crazy Little Thing Called Love,Queen - Crazy Little Thing Called Love,130,Queen - Crazy Little Thing Called Love,Queen,Crazy Little Thing Called Love,1979,Rock
Queen - Don't Stop Me Now,Queen - Don't Stop Me Now,130,Queen - Don't Stop Me Now,Queen,Don't Stop Me Now,1978,Rock
Queen - We Will Rock You,Queen - We Will Rock You,130,Queen - We Will Rock You,Queen,We Will Rock You,1977,Rock
Rachel Platten - Fight Song,Rachel Platten - Fight Song,130,Rachel Platten - Fight Song,Rachel Platten,Fight Song,2015,Pop
Rag 'N' Bone Man - Human,Rag 'N' Bone Man - Human,130,Rag'n'Bone Man - Human,Rag'n'Bone Man,Human,2016,Alternative
Ray Anthony - Hokey Pokey,Ray Anthony - Hokey Pokey,120,Ray Anthony - The Hokey Pokey,Ray Anthony,The Hokey Pokey,1992,Jazz
Ray Charles - Hit The Road Jack,Ray Charles - Hit The Road Jack,130,Ray Charles - Hit the Road Jack,Ray Charles,Hit the Road Jack,2021,Rock
Razorlight - Somewhere Else,Razorlight - Somewhere Else,130,Razorlight - Somewhere Else,Razorlight,Somewhere Else,2004,Rock
Richie Valens - La Bamba,Richie Valens - La Bamba,50,La Bamba - Ritchie Valens,Ritchie Valens,La Bamba,1958,Rock
Ricky Martin - She Bangs,Ricky Martin - She Bangs,120,Ricky Martin - She Bangs (English Edit),Ricky Martin,She Bangs (English Edit),2000,Latin
Ricky Nelson - Hello Mary Lou,Ricky Nelson - Hello Mary Lou,130,Ricky Nelson - Hello Mary Lou,Ricky Nelson,Hello Mary Lou,1991,Rock
Righteous Brothers - Unchained Melody,Righteous Brothers - Unchained Melody,120,The Righteous Brothers - Unchained Melody,The Righteous Brothers,Unchained Melody,1965,Pop
Rihanna & Kayne West & Paul Mccartney - Fourfiveseconds,Rihanna & Kayne West & Paul Mccartney - Fourfiveseconds,120,Rihanna and Kanye West and Paul McCartney - FourFiveSeconds,Rihanna and Kanye West and Paul McCartney,FourFiveSeconds,2015,Pop
Rihanna - Don't Stop The Music,Rihanna - Don't Stop The Music,125,Rihanna - Don't Stop the Music,Rihanna,Don't Stop the Music,2007,R&B/Soul
Rihanna - Umbrella,Rihanna - Umbrella,120,Rihanna - Umbrella (feat. JAŸ-Z),Rihanna,Umbrella (feat. JAŸ-Z),2007,Pop
Rihanna ft Mikky Ekko - Stay,Rihanna ft Mikky Ekko - Stay,135,Rihanna - Stay (feat. Mikky Ekko),Rihanna,Stay (feat. Mikky Ekko),2012,Pop
Rita Ora - Your Song,Rita Ora - Your Song,130,Rita Ora - Your Song,Rita Ora,Your Song,2018,Pop
Robbie Williams - Rock Dj,Robbie Williams - Rock Dj,130,Robbie Williams - Rock DJ,Robbie Williams,Rock DJ,2000,Pop
Robert Palmer - Addicted To Love,Robert Palmer - Addicted To Love,130,Robert Palmer - Addicted to Love,Robert Palmer,Addicted to Love,1985,Rock
Rod Stewart - Maggie May,Rod Stewart - Maggie May,130,Rod Stewart - Maggie May,Rod Stewart,Maggie May,1971,Rock
Ronan Keating - When You Say Nothing At All,Ronan Keating - When You Say Nothing At All,130,Ronan Keating - When You Say Nothing At All,Ronan Keating,When You Say Nothing At All,1999,Rock
Roxette - Listen To Your Heart,Roxette - Listen To Your Heart,130,Roxette - Listen To Your Heart,Roxette,Listen To Your Heart,1988,Pop
"Roy Orbison - Oh, Pretty Woman","Roy Orbison - Oh, Pretty Woman",130,"Roy Orbison - Oh, Pretty Woman",Roy Orbison,"Oh, Pretty Woman",1964,Rock
Roy Orbison - Pretty Woman,Roy Orbison - Pretty Woman,120,"Roy Orbison - Oh, Pretty Woman",Roy Orbison,"Oh, Pretty Woman",1964,Rock
Rudimental Ft Ed Sheeran - Lay It All On Me,Rudimental Ft Ed Sheeran - Lay It All On Me,135,Rudimental - Lay It All on Me (feat. Ed Sheeran),Rudimental,Lay It All on Me (feat. Ed Sheeran),2005,Dance
Sam & Dave - Soul Man,Sam & Dave - Soul Man,130,Sam & Dave - Soul Man,Sam & Dave,Soul Man,1983,Rock
Sam Bailey - Skyscraper,Sam Bailey - Skyscraper,130,Sam Bailey - Skyscraper,Sam Bailey,Skyscraper,2013,Pop
Sam Smith - Pray,Sam Smith - Pray,130,Sam Smith - Pray,Sam Smith,Pray,2017,Pop
Sam Smith - Stay With Me,Sam Smith - Stay With Me,130,Sam Smith - Stay with Me,Sam Smith,Stay with Me,2014,Pop
Sam Smith Ft John Legend - Lay Me Down,Sam Smith Ft John Legend - Lay Me Down,135,Sam Smith - Lay Me Down (feat. John Legend),Sam Smith,Lay Me Down (feat. John Legend),2014,Pop
Sam The Sham - Wooly Bully,Sam The Sham - Wooly Bully,120,Sam the Sham & The Pharaohs - Wooly Bully,Sam the Sham & The Pharaohs,Wooly Bully,1965,Rock
Searchers - Love Potion Number Nine,Searchers - Love Potion Number Nine,110,The Searchers - Love Potion Number Nine (Stereo),The Searchers,Love Potion Number Nine (Stereo),1963,Pop
Semisonic - Secret Smile,Semisonic - Secret Smile,130,Semisonic - Secret Smile,Semisonic,Secret Smile,1998,Rock
Shawn Mendes - Stitches,Shawn Mendes - Stitches,130,Shawn Mendes - Stitches,Shawn Mendes,Stitches,2015,Pop
Shocking Blue - Venus,Shocking Blue - Venus,130,Shocking Blue - Venus,Shocking Blue,Venus,1969,Pop
Sia - Rainbow,Sia - Rainbow,120,Seong Sia - Rainbow,Seong Sia,Rainbow,2012,New Age
Sigma - Nobody To Love,Sigma - Nobody To Love,130,Sigma - Nobody to Love,Sigma,Nobody to Love,2014,Dance
Simon And Garfunkel - Bridge Over Troubled Water,Simon And Garfunkel - Bridge Over Troubled Water,130,Simon & Garfunkel - Bridge Over Troubled Water,Simon & Garfunkel,Bridge Over Troubled Water,1970,Pop
Simply Red - Holding Back the Years,Simply Red - Holding Back the Years,130,Simply Red - Holding Back the Years,Simply Red,Holding Back the Years,1985,Pop
Simply Red - Money's Too Tight,Simply Red - Money's Too Tight,130,Simply Red - Money's Too Tight,Simply Red,Money's Too Tight,1985,Pop
Sister Sledge - We Are Family,Sister Sledge - We Are Family,130,Sister Sledge - We Are Family,Sister Sledge,We Are Family,1992,Dance
Slade - Com On Feel The Noize,Slade - Com On Feel The Noize,120,Slade - Cum On Feel the Noize,Slade,Cum On Feel the Noize,1973,Rock
Sly & The Family Stone - Dance To The Music,Sly & The Family Stone - Dance To The Music,125,Sly & The Family Stone - Dance to the Music,Sly & The Family Stone,Dance to the Music,1968,R&B/Soul
Snow Patrol - Chasing Cars,Snow Patrol - Chasing Cars,130,Snow Patrol - Chasing Cars,Snow Patrol,Chasing Cars,2005,Alternative
Snow Patrol - This Isn't Everything You Are,Snow Patrol - This Isn't Everything You Are,130,Snow Patrol - This Isn't Everything You Are,Snow Patrol,This Isn't Everything You Are,2011,Alternative
Sonny & Cher - I Got You Babe,Sonny & Cher - I Got You Babe,130,Sonny & Cher - I Got You Babe,Sonny & Cher,I Got You Babe,1965,Pop
Spandau Ballet - Gold,Spandau Ballet - Gold,130,Spandau Ballet - Gold,Spandau Ballet,Gold,1985,Pop
Spice Girls - Wannabe,Spice Girls - Wannabe,130,Spice Girls - Wannabe,Spice Girls,Wannabe,1996,Pop
Starship - Nothins Gonna Stop Us Now,Starship - Nothins Gonna Stop Us Now,120,Starship - Nothing's Gonna Stop Us Now,Starship,Nothing's Gonna Stop Us Now,1987,Rock
Starship - We Built This City,Starship - We Built This City,130,Starship - We Built This City,Starship,We Built This City,1985,Rock
Status Quo - Down Down,Status Quo - Down Down,130,Status Quo - Down Down,Status Quo,Down Down,1974,Rock
Status Quo - Rockin All Over The World,Status Quo - Rockin All Over The World,120,Status Quo - Rockin' All over the World,Status Quo,Rockin' All over the World,1977,Rock
Steam - Na Na Hey Hey Kiss Him Goodbye,Steam - Na Na Hey Hey Kiss Him Goodbye,130,Steam - Na Na Hey Hey Kiss Him Goodbye,Steam,Na Na Hey Hey Kiss Him Goodbye,2008,Pop
Steppenwolf - Born to be Wild,Steppenwolf - Born to be Wild,130,Steppenwolf - Born to Be Wild,Steppenwolf,Born to Be Wild,1968,Rock
Steps - Love's Got A Hold Of My Heart,Steps - Love's Got A Hold Of My Heart,120,Steps - Love's Got a Hold On My Heart,Steps,Love's Got a Hold On My Heart,1998,Pop
Stereophonics - C'est La Vie,Stereophonics - C'est La Vie,55,C'est La Vie (Remake of Stereophonics) - Starstruck Backing Tracks,Starstruck Backing Tracks,C'est La Vie (Remake of Stereophonics),2015,Karaoke
Stereophonics - Dakota,Stereophonics - Dakota,130,Stereophonics - Dakota,Stereophonics,Dakota,2005,Pop
Stevie Wonder - I Just Called To Say I Love You,Stevie Wonder - I Just Called To Say I Love You,130,Stevie Wonder - I Just Called To Say I Love You,Stevie Wonder,I Just Called To Say I Love You,1984,Soundtrack
Stevie Wonder - Isn't She Lovely,Stevie Wonder - Isn't She Lovely,130,Stevie Wonder - Isn't She Lovely,Stevie Wonder,Isn't She Lovely,1996,Pop
Supergrass - Alright,Supergrass - Alright,130,Supergrass - Alright,Supergrass,Alright,1995,Rock
Supremes - Stop! In The Name Of Love,Supremes - Stop! In The Name Of Love,115,The Supremes - Stop! In the Name of Love,The Supremes,Stop! In the Name of Love,1997,R&B/Soul
Supremes - Where Did You Love Go,Supremes - Where Did You Love Go,110,The Supremes - Where Did Our Love Go,The Supremes,Where Did Our Love Go,1964,Soundtrack
Supremes - You Can't Hurry Love,Supremes - You Can't Hurry Love,120,The Supremes - You Can't Hurry Love,The Supremes,You Can't Hurry Love,1966,Soundtrack
Survivor - Eye Of The Tiger,Survivor - Eye Of The Tiger,130,Survivor - Eye of the Tiger,Survivor,Eye of the Tiger,1982,Soundtrack
Sweet Caroline - Neil Diamond _ Karaoke Version _ KaraFun---IM8pV2wedpc,Sweet Caroline - Neil Diamond,130,Sweet Caroline - Neil Diamond,Neil Diamond,Sweet Caroline,1969,Pop
T'Pau - China In Your Hand,T'Pau - China In Your Hand,130,T'Pau - China In Your Hand,T'Pau,China In Your Hand,1987,Rock
TLC - Unpretty,TLC - Unpretty,125,TLC - Unpretty,TLC,Unpretty,1999,R&B/Soul
Taio Cruz - Dynamite,Taio Cruz - Dynamite,130,Taio Cruz - Dynamite,Taio Cruz,Dynamite,2009,Pop
Take That - Never Forget,Take That - Never Forget,130,Take That - Never Forget,Take That,Never Forget,1995,Pop
Take That - Patience,Take That - Patience,130,Take That - Patience,Take That,Patience,2006,Pop
Taylor Swift - Blank Space,Taylor Swift - Blank Space,130,Taylor Swift - Blank Space,Taylor Swift,Blank Space,2014,Pop
Taylor Swift - Everything Has Changed (feat. Ed Sheeran)---j3zBJPk0Jtk,Taylor Swift - Everything Has Changed (feat. Ed Sheeran)---j3zBJPk0Jtk,0,,,,,
Taylor Swift - Style,Taylor Swift - Style,130,Taylor Swift - Style,Taylor Swift,Style,2014,Pop
Taylor Swift - Wildest Dreams,Taylor Swift - Wildest Dreams,130,Taylor Swift - Wildest Dreams,Taylor Swift,Wildest Dreams,2014,Pop
Tears For Fears - Everybody Wants To Rule The World,Tears For Fears - Everybody Wants To Rule The World,130,Tears for Fears - Everybody Wants to Rule the World,Tears for Fears,Everybody Wants to Rule the World,1985,Pop
Temptations - Ain't Too Proud To Beg,Temptations - Ain't Too Proud To Beg,120,The Temptations - Ain't Too Proud to Beg,The Temptations,Ain't Too Proud to Beg,1966,Soundtrack
Temptations - Get Ready,Temptations - Get Ready,120,The Temptations - Get Ready,The Temptations,Get Ready,1966,Soundtrack
Texas - I Don't Want A Lover,Texas - I Don't Want A Lover,130,Texas - I Don't Want a Lover,Texas,I Don't Want a Lover,1989,Rock
Texas - Say What You Want,Texas - Say What You Want,130,Texas - Say What You Want,Texas,Say What You Want,1997,Pop
The Angels - Am I Ever Gonna See Your Face Again,The Angels - Am I Ever Gonna See Your Face Again,130,The Angels - Am I Ever Gonna See Your Face Again,The Angels,Am I Ever Gonna See Your Face Again,1978,Rock
"The Archies - Sugar, Sugar","The Archies - Sugar, Sugar",130,"The Archies - Sugar, Sugar",The Archies,"Sugar, Sugar",1969,Pop
The Bangles - Eternal Flame,The Bangles - Eternal Flame,130,The Bangles - Eternal Flame,The Bangles,Eternal Flame,1988,Rock
The Bangles - Walk Like An Egyptian,The Bangles - Walk Like An Egyptian,130,The Bangles - Walk Like an Egyptian,The Bangles,Walk Like an Egyptian,1985,Rock
The Beatles - I Want to Hold Your Hand,The Beatles - I Want to Hold Your Hand,130,The Beatles - I Want to Hold Your Hand,The Beatles,I Want to Hold Your Hand,1963,Rock
The Calling - Wherever You Will Go,The Calling - Wherever You Will Go,130,The Calling - Wherever You Will Go,The Calling,Wherever You Will Go,2001,Rock
The Jam - Town Called Malice,The Jam - Town Called Malice,130,The Jam - Town Called Malice,The Jam,Town Called Malice,1982,Rock
The Killers - Mr Brightside,The Killers - Mr Brightside,120,The Killers - Mr. Brightside,The Killers,Mr. Brightside,2003,Rock
The Mavericks - Dance the Night Away,The Mavericks - Dance the Night Away,130,The Mavericks - Dance the Night Away,The Mavericks,Dance the Night Away,1997,Country
The Monkees - Daydream Believer,The Monkees - Daydream Believer,130,The Monkees - Daydream Believer,The Monkees,Daydream Believer,1967,Pop
The Monkees - I'm A Believer,The Monkees - I'm A Believer,130,The Monkees - I'm a Believer,The Monkees,I'm a Believer,1966,Pop
The Pogues Feat. Kirsty MacColl - Fairytale Of New York,The Pogues Feat. Kirsty MacColl - Fairytale Of New York,135,The Pogues - Fairytale of New York (feat. Kirsty MacColl),The Pogues,Fairytale of New York (feat. Kirsty MacColl),1987,Alternative
The Pointer Sisters - I'm So Excited,The Pointer Sisters - I'm So Excited,130,The Pointer Sisters - I'm So Excited,The Pointer Sisters,I'm So Excited,1982,Pop
Three Dog Night - Joy To The World,Three Dog Night - Joy To The World,130,Three Dog Night - Joy to the World,Three Dog Night,Joy to the World,1970,Pop
Tiffany - I Think We're Alone Now,Tiffany - I Think We're Alone Now,130,Tiffany - I Think We're Alone Now,Tiffany,I Think We're Alone Now,1987,Pop
Tina Turner - What's Love Got To Do With It,Tina Turner - What's Love Got To Do With It,130,Tina Turner - What's Love Got to Do with It,Tina Turner,What's Love Got to Do with It,1984,Pop
Tinie Tempah Ft Zara Larsson - Girls Like,Tinie Tempah Ft Zara Larsson - Girls Like,130,Tinie Tempah - Girls Like (feat. Zara Larsson),Tinie Tempah,Girls Like (feat. Zara Larsson),2016,Hip-Hop/Rap
Tokens - The Lion Sleeps Tonight,Tokens - The Lion Sleeps Tonight,120,The Tokens - The Lion Sleeps Tonight,The Tokens,The Lion Sleeps Tonight,1961,Pop
Tom Jones - Delilah,Tom Jones - Delilah,130,Tom Jones - Delilah,Tom Jones,Delilah,1968,Pop
Tom Jones - You Can Leave Your Hat On,Tom Jones - You Can Leave Your Hat On,50,You Can Leave Your Hat On - Joe Cocker,Joe Cocker,You Can Leave Your Hat On,1972,Rock
Tom Odell - Concrete,Tom Odell - Concrete,125,Tom Odell - Concrete,Tom Odell,Concrete,2016,Singer/Songwriter
Tommy James & The Shondells - Mony Mony,Tommy James & The Shondells - Mony Mony,130,Tommy James & The Shondells - Mony Mony,Tommy James & The Shondells,Mony Mony,1968,Pop
Toni Basil - Mickey,Toni Basil - Mickey,120,Toni Basil - Hey Mickey,Toni Basil,Hey Mickey,1982,Pop
Tony Christie - Amarillo,Tony Christie - Amarillo,120,Tony Christie - (Is This The Way To) Amarillo,Tony Christie,(Is This The Way To) Amarillo,1972,Pop
Travie Mccoy Ft Bruno Mars - Billionaire,Travie Mccoy Ft Bruno Mars - Billionaire,135,Travie McCoy - Billionaire (feat. Bruno Mars),Travie McCoy,Billionaire (feat. Bruno Mars),2010,Pop
Travis - Why Does It Always Rain on Me,Travis - Why Does It Always Rain on Me,120,Travis - Why Does It Always Rain On Me?,Travis,Why Does It Always Rain On Me?,1999,Pop
U2 - Beautiful Day,U2 - Beautiful Day,130,U2 - Beautiful Day,U2,Beautiful Day,2000,Rock
Ub40 - I Can't Help Falling In Love With You,Ub40 - I Can't Help Falling In Love With You,110,UB40 - (I Can't Help) Falling in Love With You,UB40,(I Can't Help) Falling in Love With You,1993,Reggae
Ultravox - Vienna,Ultravox - Vienna,130,Ultravox - Vienna,Ultravox,Vienna,1980,New Wave
Van Morrison - Brown Eyed Girl,Van Morrison - Brown Eyed Girl,130,Van Morrison - Brown Eyed Girl,Van Morrison,Brown Eyed Girl,1967,Rock
Verve - The Drugs Don't Work,Verve - The Drugs Don't Work,120,The Verve - The Drugs Don't Work,The Verve,The Drugs Don't Work,1997,Rock
Village People - Y.M.C.A.,Village People - Y.M.C.A.,130,Village People - Y.M.C.A.,Village People,Y.M.C.A.,2007,Disco
Westlife - Flying Without Wings,Westlife - Flying Without Wings,130,Westlife - Flying Without Wings,Westlife,Flying Without Wings,1999,Pop
Westlife - Safe,Westlife - Safe,130,Westlife - Safe,Westlife,Safe,2001,Pop
Wet Wet Wet - Sweet Little Mystery,Wet Wet Wet - Sweet Little Mystery,130,Wet Wet Wet - Sweet Little Mystery,Wet Wet Wet,Sweet Little Mystery,1987,Pop
Wham - Club Tropicana,Wham - Club Tropicana,130,Wham! - Club Tropicana,Wham!,Club Tropicana,1983,Pop
Wham - I'm Your Man,Wham - I'm Your Man,130,Wham! - I'm Your Man,Wham!,I'm Your Man,1986,Pop
Wham - Wake Me Up Before You Go Go,Wham - Wake Me Up Before You Go Go,130,Wham! - Wake Me Up Before You Go Go,Wham!,Wake Me Up Before You Go Go,1984,Pop
Whitney Houston - Greatest Love of All,Whitney Houston - Greatest Love of All,130,Whitney Houston - Greatest Love of All,Whitney Houston,Greatest Love of All,1985,Pop
Whitney Houston - I Wanna Dance With Somebody,Whitney Houston - I Wanna Dance With Somebody,120,Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),1987,Pop
Whitney Houston - I Will Always Love You,Whitney Houston - I Will Always Love You,130,Whitney Houston - I Will Always Love You,Whitney Houston,I Will Always Love You,1992,Soundtrack
Whitney Houston - Saving All My Love For You,Whitney Houston - Saving All My Love For You,130,Whitney Houston - Saving All My Love for You,Whitney Houston,Saving All My Love for You,1985,Pop
Wild Cherry - Play That Funky Music,Wild Cherry - Play That Funky Music,130,Wild Cherry - Play That Funky Music,Wild Cherry,Play That Funky Music,1976,Rock
Will Smith - Wild Wild West,Will Smith - Wild Wild West,125,Will Smith - Wild Wild West,Will Smith,Wild Wild West,1999,Hip-Hop/Rap
Wilson Pickett - Mustang Sally,Wilson Pickett - Mustang Sally,130,Wilson Pickett - Mustang Sally,Wilson Pickett,Mustang Sally,1966,Pop
Wuthering Heights - Kate Bush,Wuthering Heights - Kate Bush,130,Wuthering Heights - Kate Bush,Kate Bush,Wuthering Heights,2022,Pop
Years and Years - King,Years and Years - King,130,Years & Years - King,Years & Years,King,2022,Pop
Ylvis - The Fox (What Does The Fox Say-),Ylvis - The Fox,120,Ylvis - The Fox (What Does the Fox Say?),Ylvis,The Fox (What Does the Fox Say?),2013,Pop
Young Rascals - Good Lovin',Young Rascals - Good Lovin',120,The Young Rascals - Good Lovin',The Young Rascals,Good Lovin',1966,Rock
Zayn - Pillow Talk,Zayn - Pillow Talk,120,ZAYN - PILLOWTALK,ZAYN,PILLOWTALK,2016,Pop
Zayn Ft Sia - Dusk Will Dawn,Zayn Ft Sia - Dusk Will Dawn,125,ZAYN - Dusk Till Dawn (feat. Sia),ZAYN,Dusk Till Dawn (feat. Sia),2017,Pop
"baccara - Yes sir, I can boogie","baccara - Yes sir, I can boogie",130,"Baccara - Yes Sir, I Can Boogie",Baccara,"Yes Sir, I Can Boogie",1977,Pop
